Layer,Description,Targets,Reference,Ref_troubleshoot
reef fishing catch,The modeled reef fish catch from commercial and recreational fishery taking into account shoreline accessibility.,pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
habitat destruction of benthic structures,"Benthic structures were defined as manmade features in the offshore environment that disrupt benthic habitat and include moored buoys, channel markers, offshore cables and pipelines.",pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
habitat destruction caused by coastal engineering,"Coastal engineering consisted of shoreline armoring structures (e.g., seawalls, revetments, groins, break waters), artificial land (i.e., land fill), and piers.",pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
habitat destruction from dredging,Dredging was defined as activity involving physically removing substrate with machinery typically to allow for safe passage of vessels.,pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
ship-based groundings,"To represent the risk of ship groundings and wrecks to coastal waters, the footprint of this ship traffic layer was clipped to 9 m depth.",pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
"direct impacts from humans (trampling, recreation, etc)",InVEST recreation model was run statewide at 1 km resolution for the years 2005 - 2014. This model uses publicly visible geotagged photos posted to the photo-sharing website Flickr to calculate the annual average number of photo users per day per grid cell. This is a proxy for direct human impact to nearshore and coastal environments.,pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
landbased source of pollution pathogens,The onsite waste disposal systems (ODSD) as proxy of nitrogen flux to the nearshore water.,pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
land-based sediment export to nearshore water,"The pressure on the nearshore from sedimentation. Falinski (2016) customized, parameterized, calibrated, and ran the Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST) model for sediment delivery for each of the eight Main Hawaiian Islands. This model predicts the average annual amount of sediment (tons/yr) exported from each map pixel as a function of land use/land cover, soil characteristics, rainfall, slope, geology, and hydrology.",pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
land-based source of pollution from agriculture and golf courses,"The proxy for agricultural and landscaping runoff (nutrients from fertilizers; chemicals like pesticides and herbicides), calculated as the area of agricultural land and golf courses by watershed.",pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
land-based source of pollution from urban runoff,A proxy for nutrient and chemical pollution.,pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
marine debris,The State of Hawaii Division of Aquatic Resources aerial imagery of marine debris from 2015.,pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
ship-based pollution,Ship traffic layer was used as a proxy for ship-based pollution.,pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
terrestrial aquaculture,The environmental footprint of terrestrial aquaculture facilities.,pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
invasive species (algae and mangroves),Represents presence-only of invasive algae species in nearshore waters and mangroves along the shoreline.,pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
NA,NA,pressure,@NA,NA
NA,NA,pressure,@NA,NA
NA,NA,pressure,@NA,NA
NA,NA,pressure,@NA,NA
NA,NA,pressure,@NA,NA
NA,NA,pressure,@NA,NA
State New Economy Index,"The State New Economy Index uses 25 indicators to measure the extent to which state economies are knowledge-based, globalized, entrepreneurial, IT-driven, and innovation-oriented.",resilience,@the_information_technology_&_innovation_foundation_2014_2014,the_information_technology_&_innovation_foundation_2014_2014
community stewardship,"The number of potential Community Based Subsistence Fishing Areas (CBSFA) and interested communities, and the active fishponds, scaled to maximum number per county.",resilience,@NA,NA
coastal MPAs fisheries resilience,The ratio of management areas to total coastal area within 3nm.,resilience,@office_of_planning_hawaii_nodate,office_of_planning_hawaii_nodate
NA,NA,resilience,@NA,NA
coastal MPAs habitat resilience,The ratio of management areas to total coastal area within 3nm.,resilience,@office_of_planning_hawaii_nodate,office_of_planning_hawaii_nodate
NA,NA,resilience,@NA,NA
watersheds protected,The percent of priority watersheds that are fenced to protect againts invasive animals.,resilience,@yuen_percent_2017,yuen_percent_2017
habitat health,The scores from the habitats subgoal of biodiversity are used as resilience for Livelihoods and Economies and the Sustainable Tourism goals.,resilience,@NA,NA
Mo'omeheu - Value of History and Culture,The preservation of culture. Mo'omeheu - Value of History and Culture.,resilience,@OHA,OHA
experience of visitors,The percent of visitors that report having an excellent experience.,resilience,@dbedt_data_2015,dbedt_data_2015
NA,NA,spatial,@NA,NA
NA,NA,spatial,@NA,NA
NA,NA,spatial,@NA,NA
fish biomass,The calculated fish biomass score in relation to pristine biomass from the NOAA report card.,SPP,@williams_inidcators_2017,williams_inidcators_2017
NA,NA,SPP,@NA,NA
average visitors per day,The average number of visitor days by county.,TR,@dbedt_data_2015,dbedt_data_2015
environmental protection,The percent of nearhsore areas priority watersheds protected in reference to Hawaii Stanability Initatives (30 by 30 targets). This data may change as the State DLNR Division of Aquatic Resources develops the 30 by 30 initative.,TR,@office_of_planning_hawaii_nodate,office_of_planning_hawaii_nodate
visitor contributed GDP,Visitor generated GDP with a target set by the Hawaii Tourism Authority of 2.5% annual growth.,TR,@hta_annual_2016,hta_annual_2016
resident sentiment,The Hawaii Tourism Authority's survey on resident sentiment to tourism.,TR,@hta_evaluation_2017,hta_evaluation_2017
NA,NA,TR,@NA,NA
