header_layer,layer_name,description,reference,url
management and protection of habitat to preserve biodiversity (fisheries),fp_habitat,The survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: habitat related questions.,global OHI,http://www.oceanhealthindex.org/methodology/components
commercial fishing management,fp_mora,The estimated management effectiveness of regulations and management of commercial fishing.,global OHI,http://www.oceanhealthindex.org/methodology/components
artisanal fisheries management effectiveness and opportunity,fp_mora_artisanal,The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector.,global OHI,http://www.oceanhealthindex.org/methodology/components
coastal MPAs fisheries resilience,fp_MPA_3nm,The ratio of management areas to total coastal area within 3nm.,"NOAA MPA spatial data layer (management areas include no take, multiple use, national parks, and santucary waters",http://geoportal.hawaii.gov/datasets/marine-managed-areas-dar?geometry=-165.4%2C19.079%2C-149.745%2C22.671
EEZ protected marine areas to protect fishery resources,fp_mpa_eez,The protected marine areas within the EEZ to protect fishery resources.,goal scores for Lasting Special Places,http://geoportal.hawaii.gov/
EEZ MPAs fisheries resilience,fp_MPA_eez,"The ratio of management areas (BRFA, Longline, Monument) to the total ocean area with the EEZ and divided into OHI regions.","NOAA MPA spatial data layer (management areas include no take, multiple use, national parks, and santucary waters",http://geoportal.hawaii.gov/datasets/noaa-marine-protected-area-mpa-inventory
reef fishing catch,fp_reeffish_t,The modeled reef fish catch from commercial and recreational fishery taking into account shoreline accessibility.,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
CITES signatories,g_cites,The Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories.,global OHI,http://www.oceanhealthindex.org/methodology/components
inflation adjusted usd,gdp_usd,The inflation adjusted usd.,DBEDT,http://dbedt.hawaii.gov/economic/databook/db2015/
biodiversity beach extent,hab_extent_mhi,"Beach extent was caluclated from the from ESI GIS layer (Beaches (3,4,5 classifications)). The data units are in km not km2 like other habitats.",NOAA ESI,https://response.restoration.noaa.gov/maps-and-spatial-data/download-esi-maps-and-gis-data.html
biodiversity coastal wetland extent,hab_extent_mhi,The eetlands extent layer was created from HI wetlands layer (1979) and TNC marxan wetlands layer. Deep water habitats were removed to focus on nearshore estuaries and wetlands.,HI wetlands layer (1979) and TNC marxan wetlands layer.,NA
biodiversity reef extent,hab_extent_mhi,The hardbottom extent out to 80 meters modified from NOAA habitat maps.,Lecky 2016 Ecosystem vulnerability and mapping cumulative impacts on Hawaiian reefs,NA
soft bottom extent,hab_extent_mhi,Soft bottom habitat extent was derived from the cumulative impact habitat maps.,Lecky 2016 Ecosystem vulnerability and mapping cumulative impacts on Hawaiian reefs,NA
biodiversity beach condition,hab_health_mhi,The condition of coastal habitats measured as the percent of beaches erroding per region.,NOAA ESI,https://response.restoration.noaa.gov/maps-and-spatial-data/download-esi-maps-and-gis-data.html
biodiversity coastal wetland condition,hab_health_mhi,Wetland condition was calculated based on percent of historical extent.,"Van Rees, CB and Reed M (2014) Wetland loss in Hawaii since human settlement. Wetlands 34:335-350",https://www.researchgate.net/profile/J_Reed/publication/259637070_Wetland_Loss_in_Hawai'i_Since_Human_Settlement/links/54202e380cf241a65a1b0d1c.pdf
biodiversity reef condition,hab_health_mhi,"The benthic condition of coral reefs assessed through a combination of variables including percent coral cover, percent macroalgae cover, demography, and mortality.",NOAA report card,in review
soft bottom condition,hab_health_mhi,The percent of softbottom habitat not impacted by dredging.,Lecky 2016 Ecosystem vulnerability and mapping cumulative impacts on Hawaiian reefs,NA
biodiversity beach trend,hab_trend_mhi,"The average short-term errosine rate of beaches, estimated at -0.06 m per year.","Fletcher, C.H., Romine, B.M., Genz, A.S., Barbee, M.M., Dyer, Matthew, Anderson, T.R., Lim, S.C., Vitousek, Sean, Bochicchio, Christopher, and Richmond, B.M., 2012, National assessment of shoreline change: Historical shoreline change in the Hawaiian Islands: U.S. Geological Survey Open-File Report 2011–1051, 55 p. (Also available at http:// pubs.usgs.gov/of/2011/1051.)",https://pubs.usgs.gov/of/2011/1051/pdf/ofr2011-1051_report_508.pdf
biodiversity coastal wetland trend,hab_trend_mhi,The annual percent change in wetland extend based on NOAA C-CAP data comparisions from 2005 to 2010/2011.,NOAA C-CAP,https://coast.noaa.gov/ccapatlas/
biodiversity reef trend,hab_trend_mhi,The estimated change in percent coral cover calculated from the past 5 years of available monitoring data from NOAA Coral Reef Ecosystem Program.,NOAA CREP 2017 Report,https://www.pifsc.noaa.gov/cred/monitoring_status_reports.php
soft bottom trend,hab_trend_mhi,Trend was not evaluated for soft bottom habitats.,NA,NA
habitat destruction of benthic structures,hd_benstr,"Benthic structures were defined as manmade features in the offshore environment that disrupt benthic habitat and include moored buoys, channel markers, offshore cables and pipelines.",Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
habitat destruction caused by coastal engineering,hd_coasteng,"Coastal engineering consisted of shoreline armoring structures (e.g., seawalls, revetments, groins, break waters), artificial land (i.e., land fill), and piers.",Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
habitat destruction from dredging,hd_dredging,Dredging was defined as activity involving physically removing substrate with machinery typically to allow for safe passage of vessels.,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
proxy for intertidal habitat destruction,hd_intertidal,"The coastal population density (withing 25 mi from shore)  as a proxy for intertidal habitat destruction, calculated as resident population per km of shoreline and standardized by maximum regional score.",DBEDT average resident population per county,http://dbedt.hawaii.gov/economic/databook/db2015/
coastal MPAs habitat resilience,hd_MPA_3nm,The ratio of management areas to total coastal area within 3nm.,"NOAA MPA spatial data layer (management areas include no take, multiple use, national parks, and santucary waters",http://geoportal.hawaii.gov/datasets/marine-managed-areas-dar?geometry=-165.4%2C19.079%2C-149.745%2C22.671
protected marine areas within EEZ to protect against habitat destruction,hd_mpa_eez,Protected marine areas within EEZ to protect against habitat destruction.,global OHI,http://www.oceanhealthindex.org/methodology/components
EEZ MPAs habitat resilience,hd_MPA_eez,"The ratio of management areas (BRFA, Longline, Monument) to the total ocean area with the EEZ and divided into OHI regions.","NOAA MPA spatial data layer (management areas include no take, multiple use, national parks, and santucary waters",http://geoportal.hawaii.gov/datasets/noaa-marine-protected-area-mpa-inventory
ship-based groundings,hd_shipbased_ground,"To represent the risk of ship groundings and wrecks to coastal waters, the footprint of this ship traffic layer was clipped to 9 m depth.",Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
"direct impacts from humans (trampling, recreation, etc)",hd_tourrec_direct_h,InVEST recreation model was run statewide at 1 km resolution for the years 2005 - 2014. This model uses publicly visible geotagged photos posted to the photo-sharing website Flickr to calculate the annual average number of photo users per day per grid cell. This is a proxy for direct human impact to nearshore and coastal environments.,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
watersheds protected,hd_watersheds,The percent of priority watersheds that are fenced to protect againts invasive animals.,DLNR,NA
ocean and coastal revenue,le_gdp,The revenue generated per ocean sector for each county.,NOAA ENOW,https://coast.noaa.gov/digitalcoast/tools/enow.html
ocean and coastal jobs,le_jobs,The total number of jobs per ocean sector for each county.,NOAA ENOW,https://coast.noaa.gov/digitalcoast/tools/enow.html
resident population,le_popn,The number of residents per county.,DBEDT,http://dbedt.hawaii.gov/economic/databook/db2015/
unemployment,le_unemployment,The unemployment rate.,DBEBT,http://dbedt.hawaii.gov/economic/databook/db2015/
workforce,le_wkforce,The total number of jobs per county.,DBEDT,http://dbedt.hawaii.gov/economic/databook/db2015/
State New Economy Index,li_economic_index,"The State New Economy Index uses 25 indicators to measure the extent to which state economies are knowledge-based, globalized, entrepreneurial, IT-driven, and innovation-oriented.",Information Technology & Innovation Foundation,https://itif.org/publications/2014/06/11/2014-state-new-economy-index
competitiveness in achieving sustained economic prosperity,li_gci,The Global Competitiveness Index (GCI) scores from the World Economic Forum.,global OHI,http://www.oceanhealthindex.org/methodology/components
sector evenness as a measure of economic diversity,li_sector_evenness,The Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector.,global OHI,http://www.oceanhealthindex.org/methodology/components
area within 1 km of the shore,lsp_area_1km_coast,The coastal area within 1 km of the shore.,Coastline layer with 1km buffer inland,http://geoportal.hawaii.gov/
offshore area to 3nm,lsp_area_3nm_mhi2017,The offshore area to 3nm.,EEZ boundary,http://geoportal.hawaii.gov/
state conservation districts,lsp_coastal_condist,The area and type of conservation districts within 1km of the coastline.,Office of Planning,http://geoportal.hawaii.gov/datasets/conservation-district-subzones?geometry=-158.087%2C21.194%2C-157.109%2C21.418
coastal conservation districts,lsp_coastal_condist,The conservation district type and area within 1km of the coastline.,DLNR,http://dlnr.hawaii.gov/occl/conservation-district/
marine managed areas,lsp_mma_mhi2017,"The offshore areas protected to 3nm, including CBSFA, FRA, BFA, and MPA classifications.",DLNR,http://geoportal.hawaii.gov/datasets/marine-managed-areas-dar?geometry=-165.4%2C19.079%2C-149.745%2C22.671
number of fishponds,mar_fishponds,The ratio of the number of current fishponds to historical fishponds.,TNC updated fishpond layer,NA
mariculture yield,mar_harvest,Yield (lbs) of finfish and shellfish.,State of Hawaii DOA,http://hdoa.hawaii.gov/
operations,mar_operations,The number of mariculture operators.,USDA,https://quickstats.nass.usda.gov/
landbased source of pollution pathogens,po_lbsp_nosds_bil,The onsite waste disposal systems (ODSD) as proxy of nitrogen flux to the nearshore water.,Ocean Tipping Points/DOH,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
land-based sediment export to nearshore water,po_lbsp_sed,"The pressure on the nearshore from sedimentation. Falinski (2016) customized, parameterized, calibrated, and ran the Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST) model for sediment delivery for each of the eight Main Hawaiian Islands. This model predicts the average annual amount of sediment (tons/yr) exported from each map pixel as a function of land use/land cover, soil characteristics, rainfall, slope, geology, and hydrology.",Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
land-based source of pollution from agriculture and golf courses,po_lbspaggolfrunoff,"The proxy for agricultural and landscaping runoff (nutrients from fertilizers; chemicals like pesticides and herbicides), calculated as the area of agricultural land and golf courses by watershed.",Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
land-based source of pollution from urban runoff,po_lbspurbanrunoff,A proxy for nutrient and chemical pollution.,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
marine debris,po_marinedebris,The State of Hawaii Division of Aquatic Resources aerial imagery of marine debris from 2015.,Ocean Tipping Points/DLNR-DAR,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
ship-based pollution,po_shipbased_shipp,Ship traffic layer was used as a proxy for ship-based pollution.,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
participation in recreational activities,r_participation_mhi2017,"The NOAA Coral Reef Conservation Program 2014 socioeconomic surveys of human use, knowledge, attitudes, and perceptions in Hawaii.",NOAA Coral Reef Conservation Program,NA
habitat health,res_hab_health,The scores from the habitats subgoal of biodiversity are used as resilience for Livelihoods and Economies and the Sustainable Tourism goals.,goal scores for Habitats,NA
Social Progress Index,res_spi,The Social Progress Index scores.,global OHI,http://www.oceanhealthindex.org/methodology/components
management of nonindigenous species,sp_alien_species,The survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: invasive species related questions.,global OHI,http://www.oceanhealthindex.org/methodology/components
terrestrial aquaculture,sp_aquacul_terrest,The environmental footprint of terrestrial aquaculture facilities.,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
invasive species (algae and mangroves),sp_ispp_a_m,Represents presence-only of invasive algae species in nearshore waters and mangroves along the shoreline.,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
Mo'omeheu - Value of History and Culture,sp_OHA_culture,The preservation of culture. Mo'omeheu - Value of History and Culture.,Office Of Hawaiian Affairs Dashboard,https://dashboard.hawaii.gov/en/stat/goals/r4bw-tgt3/85a2-232s/h8s6-zbzy/view
measure of coastal ecological integrity,species_diversity_3nm,The Species subgoal scores calculated within 3 nm of shoreline as a proxy for ecological integrity.,global OHI,http://www.oceanhealthindex.org/methodology/components
fish biomass,spp_fish,The calculated fish biomass score in relation to pristine biomass from the NOAA report card.,NOAA CREP,NA
ESA coastal plant status,spp_status,The list of Hawaii coastal plant species and status of coastal sand-dune plants scored based on ESA status.,Fish and Wildlife Service,https://ecos.fws.gov/ecp/report?kingdom=P&status=E&status=T&status=EmE&status=EmT&status=EXPE&status=EXPN&status=SAE&status=SAT&mapstatus=3&fcrithab=on&fstatus=on&fspecrule=on&finvpop=on&fgroup=on&ffamily=on&header=Listed+Plants
ESA marine mammal status,spp_status,The list of marine mammals found in Hawaii and status of marine mammals scored based on ESA status.,US Fish and Wildlife Service; NOAA Hawaii marine mammal list,http://www.fisheries.noaa.gov/pr/sars/species.htm#largewhales; https://ecos.fws.gov/ecp/
ESA seabird and coastal bird status,spp_status,The list of seabirds and coastal birds scored based on ESA status and State of the Birds watch lists.,"Costa, Bryan; Kendall, Matthew (2016). Marine Biogeographic Assessment of the Main Hawaiian Islands: Synthesized physical and biological data offshore of the Main Hawaiian Islands from 1891-01-01 to 2015-03-01 (NCEI Accession 0155189). Version 1.1. NOAA National Centers for Environmental Information. Dataset. doi:10.7289/V56H4FG9 May 15, 2017",http://www.stateofthebirds.org/2014/extinctions/watchlist.pdf; https://www.fws.gov/endangered/
weakness of social progress,ss_spi,The inverse of the Social Progress Index scores.,Halpern et al. 2008,http://www.oceanhealthindex.org/methodology/components
weakness of governance,ss_wgi,The Inverse of World Governance Indicators (WGI) calculated as the six combined scores.,Halpern et al. 2008,http://www.oceanhealthindex.org/methodology/components
average visitors per day,t_average_visitors,The average number of visitor days by county.,DBEDT,http://dbedt.hawaii.gov/economic/databook/db2015/
environmental protection,t_env_sus,The percent of nearhsore areas priority watersheds protected in reference to Hawaii Stanability Initatives (30 by 30 targets). This data may change as the State DLNR Division of Aquatic Resources develops the 30 by 30 initative.,DLNR,http://geoportal.hawaii.gov/datasets/marine-managed-areas-dar?geometry=-165.4%2C19.079%2C-149.745%2C22.671
visitor contributed GDP,t_growth,Visitor generated GDP with a target set by the Hawaii Tourism Authority of 2.5% annual growth.,HTA annual report,http://www.hawaiitourismauthority.org/default/assets/File/HTA%20Annual%20Report%202016%20FINAL.pdf
resident sentiment,t_sentiment,The Hawaii Tourism Authority's survey on resident sentiment to tourism.,HTA,http://www.hawaiitourismauthority.org/research/reports/visitor-satisfaction/
experience of visitors,tourism_experience,The percent of visitors that report having an excellent experience.,DBEDT 7.16 visitor experience by region,http://dbedt.hawaii.gov/economic/databook/db2015/
watershed partnerships,watershed_partnerships,The ratio of watershed partnerships to historic native forest extent.,Habitat Partnerships,http://hawp.org/about-us/accomplishments/ and http://geoportal.hawaii.gov/datasets/watershed-partnerships
cp wetlands,wetlands_coastal_1km,Wetlands layer clipped to 1km inland from coast. Included only wetlands that are in shallow water and coastal for use in the coastal protection goal,HI wetlands layer (1979) and TNC marxan wetlands layer.,NA
strength of governance,wgi_all,The World Governance Indicators (WGI) six combined scores.,global OHI,http://www.oceanhealthindex.org/methodology/components
