FID,rgn_id,AREA,Area_acres,PERIMETER,FISHPONDS_,FISHPOND_1,CORIALID,ISLAND,NAME1,NAME2,NAME3,TYPE_,CLASS,SIZE_,SOURCE,OWNERSHIP,WALLCONDIT,HREGSTAT,NATREGSTAT,SUBSURFACE,REF1,REF2,REF3,REF4,REF5,DHMFIELDCH,SEFACTOR1,SEFACTOR2,TMK,WATERQUALI,AQUACULTUR,HIARCHSITE
57,2,13915.808,3.438665736,459.641,59,61,N61,Molokai,Kihaloko, , ,1,3,9.8,7,P,Poor,N,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,Summers-1971, , ,18 & 19 May 1989,Possible fresh water source is located directly west of,the fishpond.  Directly associated with two other fish,5-7-06:22,Class AA, ,60-05-212?
58,2,190.597,0.047097472,51.851,60,23,N23,Molokai,Kapa'akea, , ,2,4,0,7,P, , , , , , , , , , , , ,_-4-03:9, , ,60-03-132?
59,2,106391.175,26.2897913,1237.078,61,24,N24,Molokai,Kaloko'eli, , ,1,2,28.2,7,S,Good,Y,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1971, ,18-May-89,Bordered on its western side by Molokai Shores Condominium,and on its eastern side by Hotel Molokai.,5-4-02:14,Class AA, ,60-03-133?
60,2,96049.252,23.73425042,1241.524,62,59,N59,Molokai,Kupeke, , ,1,2,33.8,7,P,Fair,N,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,Summers-1975, , ,19-May-89,"An active fresh water source, Kupeke Stream is located to the",east of the pond.,5-7-06:1,Class AA, ,60-05-206?
61,2,84272.534,20.82416451,1129.762,63,57,N57,Molokai,Puko'o, , ,7,4,0,1,P, , , , , , , , , , , , ,5-7-07:21, , ,60-05-203?
62,2,69490.951,17.17156145,1058.511,64,25,N25,Molokai,Ali'i, , ,1,2,0,1,HHL, , , , , , , , , , , , ,5-4-06:25, , ,60-03-135?
63,2,54423.247,13.44825645,927.44,65,56,N56,Molokai,Panahaha, , ,1,3,0,1,S, , , , , , , , , , , , ,5-7-07:22, , ,60-05-202?
64,2,43222.444,10.68048202,879.596,66,26,N26,Molokai,Kaoaini or,Kaonini, ,1,3,29.8,1,P,Fair,N,N,Y,Estioko-Griffin-1987,MINARK-1989,Summers-1971, , ,18-May-89, , ,5-4-03:23,Class AA, ,60-03-136?
65,2,113327.876,28.0038848,1427.937,67,53,N53,Molokai,Ni'aupala or,Ni'ahuhala, ,1,3,35.6,1,P,Fair,N,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,Summers-1975, , ,19-May-89,A caretaker's house has recently been constructed on the west,shore of the fishpond.,5-7-07:8,Class AA, ,60-05-192?
66,2,29220.442,7.22051732,823.667,68,55,N55,Molokai,Pipi'o,Pi'opi'o or,Mapulehu,1,3,17.8,7,P,Poor,N,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,Summers-1971, , ,19-May-89,The southern side of fishpond has been recently bulldozed.,Ocean waters reflected extensive mixing with deposits,5-7-08:77,Class AA, ,60-05-196?
67,2,172994.114,42.74771054,1566.607,69,27,N27,Molokai,Kanoa, , ,1,3,0,1,P, , , , , , , , , , , , ,5-4-17:49,Class AA, ,60-03-137?
68,2,72205.829,17.84242138,991.545,70,52,N52,Molokai,Ka'opeahina, , ,1,1,19.7,1,P,Excellent,N,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,Summers-1975, , ,Visitation denied., , ,5-7-09:1,Class AA, ,60-05-190?
69,2,26578.576,6.567699022,688.621,71,29,N29,Molokai,Kakaha'ia, , ,2,2,0,7,F, , , , , , , , , , , , ,5-4-01:5, , ,60-04-143?
70,2,53032.182,13.10451733,887.404,72,51,N51,Molokai,Mahilika, , ,1,3,0,7,S, , , , , , , , , , , , ,5-7-10:31, , ,60-04-189?
71,2,388.662,0.096040324,72.75,73,30,N30,Molokai,Uluanui, , ,2,4,0,1,P, , , , , , , , , , , , ,5-5-01:31, , ,60-04-145?
72,2,57407.904,14.18578012,1013.415,74,49,N49,Molokai,'Ualapu'e, , ,1,2,22.3,1,S,Good,N,Y, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1975, ,18-May-89,"Mr. Blissard, property owner near 'Ualapu'e Fishpond, noted",that there is a spring on his property and other property,5-6-01:1,Class AA, ,60-04-185?
73,2,47513.659,11.74086271,970.683,75,31,N31,Molokai,Kawi'u, , ,1,3,12.5,7,P,Poor,N,N, ,Estioko-Griffin-1987,MINARK-1989,Summers-1971, , ,Visitation denied.,The owners of Kawi'u Fishpond have submitted an application,with the U.S. Army Corps of Engineers for a dredging permit,5-5-01:39,Class AA, ,60-04-146?
74,2,154738.125,38.23656438,1703.816,76,32,N32,Molokai,Panahaha, , ,5,3,0,1,P, , , , , , , , , , , , ,5-5-01:21, , ,60-04-147?
75,2,13905.044,3.436005898,457.773,77,48,N48,Molokai,Halemahana, , ,1,3,0,1,S, , , , , , , , , , , , ,5-6-03:35, , ,60-04-184?
76,2,200103.392,49.44654868,1849.461,78,42,N42,Molokai,Keawa Nui or,Mikimiki or,Hinau,1,1,73,1,P,Good,N,Y, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1975, ,19-May-89,Pond was reported to be heavily infested with jellyfish. An,aquaculture farm is currently in operation just east of,5-6-06:8,Class AA, ,60-04-163?
77,2,20153.67,4.980072625,641.365,79,41,N41,Molokai,Papa'ili'ili, , ,5,4,0,1,S, , , , , , , , , , , , , , , ,60-04-161?
78,2,43383.872,10.72037169,942.956,80,40,N40,Molokai,Kaina'ohe, , ,1,2,17.2,1,P,Fair,N,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1975, ,19-May-89, , ,5-6-05:22,Class AA, ,60-04-160?
79,2,71032.228,17.5524187,1239.082,81,33,N33,Molokai,Kanukunukuawa, , ,5,3,0,1,P, , , , , , , , , , , , ,5-5-01:12, , ,60-04-148?
80,2,33202.106,8.204406403,682.15,82,34,N34,Molokai,Pahiomu, , ,1,2,19.8,1,S,Fair,Y,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1975, ,18-May-89, , ,5-5-01:10,Class AA, ,60-04-149?
81,2,17282.474,4.270585738,558.268,83,47,N47,Molokai,Puhaloa, , ,1,3,0,7,P, , , , , , , , , , , , ,5-6-04:25, , ,60-04-179?
82,2,20191.1,4.989321765,601.078,84,35,N35,Molokai,Kipapa, , ,1,3,8.5,1,S,Good,Y,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1971, ,18-May-89, , ,5-5-01:8,Class AA, ,60-04-150?
83,2,74235.384,18.34393456,1225.215,85,39,N39,Molokai,Paialoa, , ,1,4,0,1,P, , , , , , , , , , , , ,5-6-02:12&5-6-07:1, , ,60-04-158?
84,2,41842.555,10.33950455,779.385,86,43,N43,Molokai,Mikiawa, , ,5,3,0,1,S, , , , , , , , , , , , ,5-6-06:9, , ,60-04-162?
85,2,166706.725,41.19406528,1683.812,87,42,N42,Molokai,Keawa Nui or,Mikimiki or,Hinau,1,1,73,1,P,Good,N,Y, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1975, ,19-May-89,Pond was reported to be heavily infested with jellyfish. An,aquaculture farm is currently in operation just east of,5-6-06:8,Class AA, ,60-04-163?
86,2,221237.263,54.66883387,2151.449,88,36,N36,Molokai,Kamahu'ehu'e, , ,1,3,0,1,P, , , , , , , , , , , , ,5-5-02:5, , ,60-04-151?
87,2,32324.063,7.987437588,831.816,89,38,N38,Molokai,nameless, , ,5,3,0,1,S, , , , , , , , , , , , ,5-6-09:, , ,60-04-156?
88,2,144511.251,35.70945268,1648.759,90,37,N37,Molokai,Kalokoiki, , ,1,2,4,7,P,Good,N,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,Summers-1975, , ,18-May-89,The caretaker of the fishpond Mr. George Maioho of Kapualei,Ranch noted previous dredging east of the area,5-6-08:20,Class AA, ,60-04-157?
89,,4905.02,1.212054967,312.708,91,27,27, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
90,,109270.27,27.00123007,2027.713,92,29,29, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
91,,55437.285,13.69883031,1410.899,93,30,30, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
92,,5865.846,1.449479876,434.458,94,31,31, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
93,,694.993,0.171736245,97.071,95,32,32, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
94,2,16756.665,4.140655705,803.775,96,1,L1,Lanai,Ka'a, , ,5,3,0,6,P, , , , , , , , , , , , ,4-9-02:1, , ,40-98-81?
95,2,4184.983,1.034130224,384.766,97,2,L2,Lanai,Waiaopae, , ,5,3,0,6,P, , , , , , , , , , , , ,4-9-02:1, , ,40-98-80?
96,,913009.588,225.6092342,5627.259,98,18,18, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
97,,198.869,0.049141524,54.338,99,33,33, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
98,,466.349,0.11523717,85.094,100,33,33, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
99,,249.735,0.061710767,63.33,101,34,34, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
100,,170.968,0.042247048,51.962,102,34,34, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
101,,2149.801,0.531226576,181.014,103,36,36, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
102,,516.218,0.127560049,80.832,104,17,17, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
103,,2270.93,0.561158158,175.348,105,42,42, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
104,,615.711,0.152145267,100.127,106,11,11, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
105,,1427.489,0.352739669,144.035,107,8,8, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
106,,588.612,0.145448968,96.137,108,6,6, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
107,,1193.129,0.294828142,158.605,109,9,9, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
108,,593.92,0.146760602,100.318,110,5,5, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
109,,425.028,0.105026544,81.376,111,4,4, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
110,,565.61,0.139765059,100.584,112,3,3, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
111,,457.213,0.112979618,87.77,113,2,2, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
112,,476.43,0.117728235,88.426,114,1,1, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
113,1,42852.775,10.58913497,1121.891,115,72,H72,Hawaii,nameless, , ,4,2,0,2,UNK, , , , , , , , , , , , ,1-May, , ,?
114,1,46328.97,11.44812013,974.067,116,74,H74,Hawaii,Muliwai, , ,4,3,3,"2, 5",S,N/A,N,N, ,Kikuchi-1971,Loo & Bonk-1973, , , ,15-Jun-90,Open water area of pond is large but entirely surrounded,by swamp; pond was probably once much larger than,4-9-03:6,Class 2,N,"10-07-10,333?"
115,1,526993.438,130.2227135,4580.069,117,70,H70,Hawaii,nameless ponds, , ,6,2,0,7,S/P, , , , , , , , , , , , ,"6-9-02,03,04,05,06", , ,?
116,1,1675.268,0.413967099,217.89,118,66,H66,Hawaii,Waipuhi, , ,1,1,0,2,P, , , , , , , , , , , , ,6-8-22:16, , ,?
117,1,470.265,0.116204833,91.233,119,53,H53,Hawaii,Weliweli ponds, , ,2,1,0.4,"2, 5",P,Unknown,N,N, ,Kikuchi-1973,Kikuchi & Belshe-1971,Maciolek & Brock-1974,Rosendahl-1973, ,Visitation denied., , ,7-1-03:9,Class 2,U,?
118,1,2160.263,0.533811789,221.76,120,51,H51,Hawaii,Keawaiki, , ,2,1,0.8,"2, 5",P,N/A,N,N, ,Kikuchi-1973,Kikuchi & Belshe-1971,Maciolek & Brock-1974, , ,5-Jul-90, , ,7-1-03:3,Class 2,N,?
119,1,6899.327,1.704858198,489.951,121,49,H49,Hawaii,Kiholo, , ,2,2,3,"2, 5",S,Good,N,N, ,Apple & Kikuchi-1975,Kikuchi-1973,Maciolek & Brock-1974, , ,6-Jul-90, , ,7-1-02:4,Class 2,N,?
120,1,1680.109,0.415163334,169.881,122,44,H44,Hawaii,Luahinewai, , ,2,3,0,2,F, , , , , , , , , , , , ,7-1-02:8, , ,?
121,1,950.205,0.234800407,126.103,123,46,H46,Hawaii,Waielepi, , ,6,2,0,2,P, , , , , , , , , , , , ,7-1-02:2, , ,?
122,1,503.199,0.124342989,105.681,124,42,H42,Hawaii,Ka'upulehu, , ,2,2,1.7,"2, 5",P,Good,N,N, ,Apple & Kikuchi-1975,Kikuchi-1973,Kikuchi & Belshe-1971,Maciolek & Brock-1974,Soehren-1963,5-Jul-90,Freshwater spring at SE corner of pond.  According to the,"caretaker, the pond will be maintained in the future, inclu",7-2-03:2,Class 2,N,?
123,1,1262.793,0.312042464,145.693,125,40,H40,Hawaii,Waiakuhi, , ,2,3,0,2,P, , , , , , , , , , , , ,7-2-03:1, , ,?
124,1,101517.909,25.0855829,2938.152,126,113,H113,Hawaii,Keahialaka, ,BPBM 50-Ha-A11-10,1,3,0,7,S, , , , , , , , , , , , ,1-3-08:15, , ,10-46-2518?
125,1,12474.976,3.082628944,615.715,127,34,H34,Hawaii,'Opae'ula (Kapo'ikai), ,BPBM 50-Ha-D20-7/8:internal,2,3,7,"2, 5",P,Good,N,N, ,Apple & Kikuchi-1975,Ching-1971,Donham-1986,Kikuchi-1973,Kikuchi & Belshe-1971,Visitation denied.,In Hawaii's ENDANGERED WATERBIRDS (Bureau of Sport Fisheries,"and Wildlife, 1970), 'Opae'ula Pond is listed as one of",7-2-04:1,Class 1,N,?
126,1,11392.861,2.815232917,378.436,128,89,H89,Hawaii,Keokea, ,BPBM 50-Ha-H22-42,2,2,0,2,H, , , , , , , , , , , , ,2-1-14:13, , ,?
127,1,330898.235,81.76660836,12896.289,129,30,H30,Hawaii,Pa'aiea, , ,2,4,0,5,S, , , , , , , , , , , , ,various TMKs, , ,?
128,1,429.967,0.106246996,82.473,130,90,H90,Hawaii,nameless, , ,2,3,1.7,"2, 5",H,N/A,N,N, ,Kikuchi-1973, , , , ,13-Jun-90,"General area of the nameless fishponds CORIAL ID: 90, 91 & 92","appear now as one contiguous, heavily vegetated marsh.",2-1-14:35,Class 2,N,?
129,1,1170.088,0.289134595,167.213,131,98,H98,Hawaii,Haleolono, ,BPBM 50-Ha-H22-33,2,3,2,2,P,Fair,N,N, ,Kikuchi-1973,McEldowney-1979, , , ,13-Jun-90, , ,2-1-15:42,Class A,N,"10-36-10,260?"
130,1,7143.931,1.76530107,621.979,132,100,H100,Hawaii,Kionakapahu, ,BPBM 50-Ha-H22-43,2,2,2.8,2,S,N/A,N,N, ,Kikuchi-1973,McEldowney-1979, , , ,13-Jun-90,Kionakapahu is contiguous with Lokoaka Fishpond and is leased,for aquaculture by the Nakagawa family.  The USGS map c,2-1-16:1,Class 2,Y,"10-36-10,262?"
131,1,303.311,0.074949665,73.925,133,106,H106,Hawaii,nameless ponds, , ,2,2,0,2,S/P, , , , , , , , , , , , ,"2-1-18,19: various", , ,?
132,1,76113.219,18.80795698,1568.089,134,102,H102,Hawaii,Lokoaka,Lokowaka,BPBM 50-Ha-H22-4,2,1,14.4,"2, 5",S,Good,N,N, ,Apple & Kikuchi-1975,Kikuchi-1973,Madden & Paulsen-1977,McEldowney-1979,MINARK-1989,13-Jun-90,"The pond is used for aquaculture by the Nakagawa family, who",lease this pond as well as Kionakapahu and Akahi Fishponds.,2-1-16:1,Class 2,Y,"10-36-10,263?"
