
Code 	Short Name                	Long Name                                         	Hawaii Totals	    Hawaii	  Honolulu	   Kalawao	     Kauai	      Maui
00406	PH       FIELD    SU      	PH, FIELD, STANDARD UNITS                       SU	          460	       231	         0	         0	         0	       229
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	          236	         0	         0	         0	         0	       236
00415	PHEN-PH- LFIN ALK MG/L    	ALKALINITY, PHENOLPHTHALEIN (MG/L)                	          236	         0	         0	         0	         0	       236
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	        33268	      5869	     19367	         0	      3276	      4756
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	          183	        20	       163	         0	         0	         0
00505	RESIDUE  TOT VOL  MG/L    	RESIDUE, TOTAL VOLATILE (MG/L)                    	           13	        13	         0	         0	         0	         0
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	         8916	      1131	      6119	         0	       860	       806
00535	RESIDUE  VOL NFLT MG/L    	RESIDUE, VOLATILE NONFILTRABLE (MG/L)             	           11	        11	         0	         0	         0	         0
00546	RESIDUE  SETTLBLE MG/L    	RESIDUE, SETTLEABLE (MG/L)                        	          295	         0	       295	         0	         0	         0
00550	OIL-GRSE TOT-SXLT MG/L    	OIL & GREASE (SOXHLET EXTRACTION) TOTAL,REC.,MG/L 	           27	         0	        27	         0	         0	         0
00556	OIL-GRSE FREON-GR MG/L    	OIL & GREASE (FREON EXTR.-GRAV METH) TOT,REC,MG/L 	           14	         0	        14	         0	         0	         0
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	        10249	      1545	      6706	         0	      1014	       984
00601	N-TOTAL  NON-FILT MG/L-N  	NITROGEN TOTAL  NON-FILTERABLE   (MG/L AS N)      	         1927	       855	         0	         0	         0	      1072
00607	ORG N    DISS-N   MG/L    	NITROGEN, ORGANIC, DISSOLVED (MG/L AS N)          	          199	       199	         0	         0	         0	         0
00608	NH3+NH4- N DISS   MG/L    	NITROGEN, AMMONIA, DISSOLVED (MG/L AS N)          	         1925	       855	         0	         0	         0	      1070
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	         8340	      1103	      5628	         0	       842	       767
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	         9015	      1485	      5392	         0	       644	      1494
00615	NO2-N    TOTAL    MG/L    	NITRITE NITROGEN, TOTAL (MG/L AS N)               	          960	         0	       960	         0	         0	         0
00618	NO3-N    DISS     MG/L    	NITRATE NITROGEN, DISSOLVED (MG/L AS N)           	           45	        45	         0	         0	         0	         0
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	         9015	      1485	      5392	         0	       644	      1494
00620	NO3-N    TOTAL    MG/L    	NITRATE NITROGEN, TOTAL (MG/L AS N)               	          974	         1	       973	         0	         0	         0
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	         9697	      1347	      6301	         0	      1034	      1015
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	         9715	      1378	      6310	         0	      1014	      1013
00631	NO2&NO3  N-DISS   MG/L    	NITRITE PLUS NITRATE, DISS. 1 DET. (MG/L AS N)    	         1926	       855	         0	         0	         0	      1071
00650	T PO4    PO4      MG/L    	PHOSPHATE, TOTAL (MG/L AS PO4)                    	         1581	         6	      1364	         0	         0	       211
00651	PHOS D   OP WTM G F/F MG/L	PHOSPHOROUS DISS ORTHOPHOSPHATE WTM GF/F MG/L     	         1927	       855	         0	         0	         0	      1072
00652	PHOS-DIS TOT WTM  MG/L P  	PHOSPHOROUS DISSOLVED TOTAL WHATMAN GF/F MG/L P   	         1926	       854	         0	         0	         0	      1072
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	        10633	      1860	      6326	         0	      1036	      1411
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	            1	         1	         0	         0	         0	         0
00671	PHOS-DIS ORTHO    MG/L P  	PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (MG/L AS P)  	          245	       245	         0	         0	         0	         0
00673	PHOS-DIS ORGANIC  MG/L P  	PHOSPHORUS, DISSOLVED ORGANIC (MG/L AS P)         	          199	       199	         0	         0	         0	         0
00680	T ORG C  C        MG/L    	CARBON, TOTAL ORGANIC (MG/L AS C)                 	         2997	       906	      1008	         0	        15	      1068
00681	D ORG C  C        MG/L    	CARBON, DISSOLVED ORGANIC (MG/L AS C)             	           17	         4	         9	         0	         2	         2
00720	CYANIDE  CN-TOT   MG/L    	CYANIDE, TOTAL (MG/L AS CN)                  MG/L 	            1	         0	         1	         0	         0	         0
00900	TOT HARD CACO3    MG/L    	HARDNESS, TOTAL (MG/L AS CACO3)                   	          216	         0	         0	         0	         0	       216
00901	C HARD   CACO3    MG/L    	HARDNESS, CARBONATE (MG/L AS CACO3)               	          206	         0	         0	         0	         0	       206
00902	NC HARD  CACO3    MG/L    	HARDNESS, NON-CARBONATE (MG/L AS CACO3)           	          209	         0	         0	         0	         0	       209
00916	CALCIUM  CA-TOT   MG/L    	CALCIUM, TOTAL (MG/L AS CA)                       	           20	         0	        20	         0	         0	         0
00927	MGNSIUM  MG,TOT   MG/L    	MAGNESIUM, TOTAL (MG/L AS MG)                     	          261	         0	       261	         0	         0	         0
00937	PTSSIUM  K,TOT    MG/L    	POTASSIUM, TOTAL MG/L AS  K)                      	          246	         0	       246	         0	         0	         0
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	          454	        36	       418	         0	         0	         0
00948	ASBESTOS WHL SAMP CNT/LITR	ASBESTOS,WHL SAMP, COUNT/LITER WITH LENGTH/WIDTH>1	            1	         0	         1	         0	         0	         0
00955	SILICA   DISOLVED MG/L    	SILICA, DISSOLVED (MG/L AS SI02)                  	         1971	       901	         0	         0	         0	      1070
00956	SILICA   TOTAL    MG/L    	SILICA, TOTAL (MG/L AS SI02)                      	          199	       199	         0	         0	         0	         0
01002	ARSENIC  AS,TOT   UG/L    	ARSENIC, TOTAL (UG/L AS AS)                       	          127	        17	        87	         0	        16	         7
01003	ARSENIC  SEDMG/KG DRY WGT 	ARSENIC IN BOTTOM DEPOSITS (MG/KG AS AS DRY WGT)  	          640	       158	       379	         0	        54	        49
01004	ARSENIC  TISMG/KG WET WGT 	ARSENIC TOTAL IN FISH OR ANIMAL WET WT MG/KG      	           45	         5	        40	         0	         0	         0
01012	BERYLIUM BE,TOT   UG/L    	BERYLLIUM, TOTAL (UG/L AS BE)                     	           24	         6	        15	         0	         0	         3
01013	BERYLIUM SEDMG/KG DRY WGT 	BERYLLIUM IN BOTTOM DEPOSITS(MG/KG AS BE DRY WGT) 	           17	         5	         8	         0	         0	         4
01026	CADMIUM  CD,SUSP  UG/L    	CADMIUM, SUSPENDED (UG/L AS CD)                   	            3	         1	         2	         0	         0	         0
01027	CADMIUM  CD,TOT   UG/L    	CADMIUM, TOTAL (UG/L AS CD)                       	          356	        17	       320	         0	        16	         3
01028	CD MUD   DRY WGT  MG/KG-CD	CADMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	          616	       148	       368	         0	        51	        49
01029	CHROMIUM SEDMG/KG DRY WGT 	CHROMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT) 	          639	       157	       380	         0	        54	        48
01034	CHROMIUM CR,TOT   UG/L    	CHROMIUM, TOTAL (UG/L AS CR)                      	          314	        18	       272	         0	        16	         8
01042	COPPER   CU,TOT   UG/L    	COPPER, TOTAL (UG/L AS CU)                        	          884	        17	       842	         0	        16	         9
01043	COPPER   SEDMG/KG DRY WGT 	COPPER IN BOTTOM DEPOSITS (MG/KG AS CU DRY WGT)   	          643	       158	       381	         0	        54	        50
01044	IRON     FE,SUSP  UG/L    	IRON, SUSPENDED (UG/L AS FE)                      	            3	         1	         2	         0	         0	         0
01045	IRON     FE,TOT   UG/L    	IRON, TOTAL (UG/L AS FE)                          	          535	         0	       535	         0	         0	         0
01051	LEAD     PB,TOT   UG/L    	LEAD, TOTAL (UG/L AS PB)                          	          566	        17	       525	         0	        16	         8
01052	LEAD     SEDMG/KG DRY WGT 	LEAD IN BOTTOM DEPOSITS (MG/KG AS PB DRY WGT)     	          656	       158	       396	         0	        52	        50
01053	MN MUD   DRY WGT  MG/KG-MN	MANGANESE IN BOTTOM DEPOSITS (MG/KG AS MN DRY WGT)	            1	         0	         1	         0	         0	         0
01055	MANGNESE MN       UG/L    	MANGANESE, TOTAL (UG/L AS MN)                     	          702	         0	       702	         0	         0	         0
01059	THALLIUM TL,TOTAL UG/L    	THALLIUM, TOTAL (UG/L AS TL)                      	           22	         5	        14	         0	         0	         3
01067	NICKEL   NI,TOTAL UG/L    	NICKEL, TOTAL (UG/L AS NI)                        	          176	        17	       135	         0	        16	         8
01068	NICKEL   SEDMG/KG DRY WGT 	NICKEL, TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	          644	       160	       380	         0	        54	        50
01069	NICKEL   TISMG/KG WET WGT 	NICKEL, TOTAL IN FISH OR ANIMALS-WET WEIGHT MG/KG 	           36	         6	        30	         0	         0	         0
01073	THALLIUM TIS-WET  MG/KG   	THALLIUM,TISSUE,WET WEIGHT,MG/KG                  	           18	         6	        12	         0	         0	         0
01077	SILVER   AG,TOT   UG/L    	SILVER, TOTAL (UG/L AS AG)                        	          226	         5	       218	         0	         0	         3
01078	SILVER   SEDMG/KG DRY WGT 	SILVER IN BOTTOM DEPOSITS (MG/KG AS AG DRY WGT)   	           15	         4	         8	         0	         0	         3
01082	STRONTUM SR,TOT   UG/L    	STRONTIUM, TOTAL (UG/L AS SR)                     	           20	         0	        20	         0	         0	         0
01092	ZINC     ZN,TOT   UG/L    	ZINC, TOTAL (UG/L AS ZN)                          	          856	        17	       813	         0	        18	         8
01093	ZINC     SEDMG/KG DRY WGT 	ZINC IN BOTTOM DEPOSITS (MG/KG AS ZN DRY WGT)     	          644	       160	       380	         0	        54	        50
01097	ANTIMONY SB,TOT   UG/L    	ANTIMONY, TOTAL (UG/L AS SB)                      	           24	         6	        15	         0	         0	         3
01098	ANTIMONY SEDMG/KG DRY WGT 	ANTIMONY IN BOTTOM DEPOSITS (MG/KG AS SB DRY WGT) 	           17	         5	         8	         0	         0	         4
01099	ANTIMONY TIS-WET  MG/KG   	ANTIMONY,TISSUE,WET WEIGHT,MG/KG                  	           19	         7	        12	         0	         0	         0
01140	SILICON  SI,DISS  UG/L    	SILICON, DISSOLVED (UG/L AS SI)                   	            1	         1	         0	         0	         0	         0
01147	SELENIUM SE,TOT   UG/L    	SELENIUM, TOTAL (UG/L AS SE)                      	           20	         5	        13	         0	         0	         2
01148	SELENIUM SEDMG/KG DRY WGT 	SELENIUM IN BOTTOM DEPOSITS (MG/KG AS SE DRY WGT) 	           13	         4	         6	         0	         0	         3
01149	SELENIUM TISMG/KG WET WGT 	SELENIUM, TOTAL IN FISH OR ANIMALS WET WGT MG/KG  	           29	         6	        23	         0	         0	         0
01170	FE MUD   DRY WGT  MG/KG-FE	IRON IN BOTTOM DEPOSITS (MG/KG AS FE DRY WGT)     	            4	         0	         4	         0	         0	         0
03726	TOC      ELUTRIAT MG/L    	TOTAL ORGANIC CARBON (TOC),LIQ FRAC,ELUTRIATE MG/L	           18	        18	         0	         0	         0	         0
30344	PCD12378 DIOXIN   TIS PG/G	PENTACHLORODIBENZO-P-DIOXIN,12378,FISH,WET WT,PG/G	            4	         2	         2	         0	         0	         0
30345	HCD12347 8 DIOXIN TIS PG/G	HEXACHLORODIBENZO-P-DIOXIN,123478,FISH,WET WT,PG/G	            4	         2	         2	         0	         0	         0
30346	HCD12367 8 DIOXIN TIS PG/G	HEXACHLORODIBENZO-P-DIOXIN,123678,FISH,WET WT,PG/G	            4	         2	         2	         0	         0	         0
30347	HCD12378 9 DIOXIN TIS PG/G	HEXACHLORODIBENZO-P-DIOXIN,123789,FISH,WET WT,PG/G	            4	         2	         2	         0	         0	         0
30348	HCD12346 78DIOXIN FISHPG/G	HEPTACHLORODIBENZO-P-DIOXIN,1234678,TIS,WETWT,PG/G	            4	         2	         2	         0	         0	         0
30349	TCD2378  FURAN    TIS PG/G	TETRACHLORODIBENZOFURAN, 2378- , FISH,WET WT.,PG/G	            4	         2	         2	         0	         0	         0
30350	PCD12378 FURAN    TIS PG/G	PENTACHLORODIBENZOFURAN,12378- , FISH,WET WT.,PG/G	            4	         2	         2	         0	         0	         0
30351	PCD23478 FURAN    TIS PG/G	PENTACHLORODIBENZOFURAN,23478- , FISH,WET WT.,PG/G	            4	         2	         2	         0	         0	         0
30352	HCD12347 8 FURAN  TIS PG/G	HEXACHLORODIBENZOFURAN,123478- , FISH,WET WT.,PG/G	            4	         2	         2	         0	         0	         0
30353	HCD12367 8 FURAN  TIS PG/G	HEXACHLORODIBENZOFURAN,123678- , FISH,WET WT.,PG/G	            4	         2	         2	         0	         0	         0
30354	HCD12378 9 FURAN  TIS PG/G	HEXACHLORODIBENZOFURAN,123789- , FISH,WET WT.,PG/G	            4	         2	         2	         0	         0	         0
30355	HCD23467 8 FURAN  TIS PG/G	HEXACHLORODIBENZOFURAN,234678- , FISH,WET WT.,PG/G	            4	         2	         2	         0	         0	         0
30356	HCD12346 78 FURAN TIS PG/G	HEPTACHLORODIBENZOFURAN,1234678- ,FISH,WET WT,PG/G	            4	         2	         2	         0	         0	         0
30357	HCD12347 89 FURAN TIS PG/G	HEPTACHLORODIBENZOFURAN,1234789- ,FISH,WET WT,PG/G	            4	         2	         2	         0	         0	         0
31501	TOT COLI MFIMENDO /100ML  	COLIFORM,TOT,MEMBRANE FILTER,IMMED.M-ENDO MED,35C 	          986	         0	       986	         0	         0	         0
31503	TOT COLI MFDLENDO /100ML  	COLIFORM,TOT,MEMBR FILTER,DELAYED,M-ENDO MED,35 C 	            1	         0	         1	         0	         0	         0
31504	TOT COLI MFIM LES /100ML  	COLIFORM,TOT,MEMBR FILTER,IMMED,LES ENDO AGAR,35C 	           12	        10	         0	         0	         2	         0
31505	TOT COLI MPN CONF /100ML  	COLIFORM,TOT,MPN,CONFIRMED TEST,35C (TUBE 31506)  	        23105	      6679	     11991	         0	      2343	      2092
31613	FEC COLI M-FCAGAR /100ML  	FECAL COLIFORM,MEMBR FILTER,M-FC AGAR,44.5C,24HR  	            1	         1	         0	         0	         0	         0
31615	FEC COLI MPNECMED /100ML  	FECAL COLIFORM,MPN,EC MED,44.5C (TUBE 31614)      	        23582	      6915	     12135	         0	      2304	      2228
31616	FEC COLI MFM-FCBR /100ML  	FECAL COLIFORM,MEMBR FILTER,M-FC BROTH,44.5 C     	        15051	      2466	     10073	         0	      1235	      1277
31621	FEC COLI A-1M H20 MPN     	FECAL COLIFORM,A-1 MOD,WATER,44.5C,24HR MPN/100ML 	           26	        26	         0	         0	         0	         0
31626	FECSTREP MPNADPS  E #/100M	FECAL STREP, 5 TUBE MPN AD PSE  #/100 ML          	           18	        18	         0	         0	         0	         0
31628	TOT COLI MF VERI  #/100ML 	TOTAL COLIFORM,MF,MFC MEDIUM,VERIFIED #/100ML     	           25	        25	         0	         0	         0	         0
31639	ENTCOCCI GR D,MF  #/100ML 	ENTEROCOCCI GROUP D,MF TRANS,M-E,EIA  #/100ML     	        27143	      4804	     15619	         0	      2616	      4104
31678	FECSTREP MPN      TUBECODE	FECAL STREPTOCOCCI,MPN,AD-EVA,TUBE CONFIGURATION  	         1342	       489	       199	         0	       568	        86
31710	STAPH    AUR CONF /100ML  	STAPHYLOCOCCUS AUREUS MF TECH. CONF GRAM STAIN    	          251	         0	       251	         0	         0	         0
32101	DICLBRMT  TOTUG/L         	BROMODICHLOROMETHANE,WHOLE WATER,UG/L             	           21	         6	        11	         0	         3	         1
32102	CARBNTET  TOTUG/L         	CARBON TETRACHLORIDE,WHOLE WATER,UG/L             	           13	         4	         8	         0	         0	         1
32103	12DICLET  TOTUG/L         	1,2-DICHLOROETHANE,WHOLE WATER,UG/L               	           13	         4	         8	         0	         0	         1
32104	BROMOFRM WHL-WTR  UG/L    	BROMOFORM,WHOLE WATER,UG/L                        	           13	         4	         8	         0	         0	         1
32105	CLDIBRMT  TOTUG/L         	DIBROMOCHLOROMETHANE,WHOLE WATER,UG/L             	           21	         6	        11	         0	         3	         1
32106	CHLRFORM  TOTUG/L         	CHLOROFORM,WHOLE WATER,UG/L                       	           37	        10	        13	         5	         6	         3
32209	CHLRPHYL A        UG/L    	CHLOROPHYLL A UG/L FLUOROMETRIC CORRECTED         	         9292	      1771	      4971	         0	       794	      1756
32230	CHLRPHYL A        MG/L    	CHLOROPHYLL A (MG/L)                              	          225	       225	         0	         0	         0	         0
32730	PHENOLS  TOTAL    UG/L    	PHENOLICS, TOTAL, RECOVERABLE (UG/L)              	          181	         0	       181	         0	         0	         0
34010	TOLUENE   TOT UG/L        	TOLUENE IN WTR SMPLE GC-MS, HEXADECONE EXTR.(UG/L)	           37	        10	        13	         5	         6	         3
34030	BENZENE   TOT UG/L        	BENZENE IN WTR SMPLE GC-MS, HEXADECONE EXTR.(UG/L)	           37	        10	        13	         5	         6	         3
34198	DELTABHC WTR WHL  LBS/DAY 	BHC-DELTA, WATER, WHOLE                    LBS/DAY	            1	         0	         1	         0	         0	         0
34200	ACENAPHT HYLENE   TOTWUG/L	ACENAPHTHYLENE                            TOTWUG/L	           23	         5	        12	         0	         2	         4
34203	ACNAPTHY SEDUG/KG DRY WGT 	ACENAPHTHYLENE                     DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34204	ACNAPTHY TISMG/KG WET WGT 	ACENAPHTHYLENE                     WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34205	ACENAPHT HENE     TOTWUG/L	ACENAPHTHENE                              TOTWUG/L	           23	         5	        12	         0	         2	         4
34208	ACNAPTHE SEDUG/KG DRY WGT 	ACENAPHTHENE                       DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34209	ACNAPTHE TISMG/KG WET WGT 	ACENAPHTHENE                       WET WGTTISMG/KG	            7	         1	         6	         0	         0	         0
34210	ACROLEIN  TOTWUG/L        	ACROLEIN                                  TOTWUG/L	           10	         4	         5	         0	         0	         1
34213	ACROLEIN SEDUG/KG DRY WGT 	ACROLEIN                           DRY WGTBOTUG/KG	           11	         3	         4	         0	         0	         4
34214	ACROLEIN TISMG/KG WET WGT 	ACROLEIN                           WET WGTTISMG/KG	           10	         7	         3	         0	         0	         0
34215	ACRYLONI TRILE    TOTWUG/L	ACRYLONITRILE                             TOTWUG/L	           10	         4	         5	         0	         0	         1
34218	ACRYLNIT SEDUG/KG DRY WGT 	ACRYLONITRILE                      DRY WGTBOTUG/KG	           11	         3	         4	         0	         0	         4
34219	ACRYLNIT TISMG/KG WET WGT 	ACRYLONITRILE                      WET WGTTISMG/KG	           10	         7	         3	         0	         0	         0
34220	ANTHRACE NE       TOTWUG/L	ANTHRACENE                                TOTWUG/L	           20	         5	         9	         0	         2	         4
34223	ANTHRACE SEDUG/KG DRY WGT 	ANTHRACENE                         DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34224	ANTHRACE TISMG/KG WET WGT 	ANTHRACENE                         WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34230	BENZBFLU ORANT TO TAL UG/L	BENZO(B)FLUORANTHENE,WHOLE WATER,UG/L             	           22	         5	        11	         0	         2	         4
34233	BENZBFLU ORANTMUD DRYUG/KG	BENZO(B)FLUORANTHENE,SEDIMENTS,DRY WGT,UG/KG      	           19	         4	        11	         0	         0	         4
34234	BENZBFLU ORANTTIS WETMG/KG	BENZO(B)FLUORANTHENE,TISSUE,WET WGT,MG/KG         	           19	         7	        11	         0	         0	         1
34237	BENZENE  SEDUG/KG DRY WGT 	BENZENE                            DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34238	BENZENE  TISMG/KG WET WGT 	BENZENE                            WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34241	BENZIDIN TISMG/KG WET WGT 	BENZIDINE                          WET WGTTISMG/KG	           16	         7	         8	         0	         0	         1
34242	BENZO(K) FLUORANT TOTWUG/L	BENZO(K)FLUORANTHENE, TOTAL, WATER            UG/L	           20	         5	        12	         0	         0	         3
34243	BENZO(K) FLUORANT DISSUG/L	BENZO(K)FLUORANTHENE, DISSOLVED, WATER        UG/L	            3	         0	         0	         0	         2	         1
34245	BENZKFLU SEDUG/KG DRY WGT 	BENZO(K)FLUORANTHENE, DRY WT, SEDIMENT       UG/KG	           19	         4	        11	         0	         0	         4
34246	BENZKFLU TISMG/KG WET WGT 	BENZO(K)FLUORANTHENE, WET WT, TISSUE         MG/KG	           19	         7	        11	         0	         0	         1
34247	BENZO(A) PYRENE   TOTWUG/L	BENZO-A-PYRENE                            TOTWUG/L	           23	         5	        12	         0	         2	         4
34250	BENZAPYR SEDUG/KG DRY WGT 	BENZO-A-PYRENE                     DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34251	BENZAPYR TISMG/KG WET WGT 	BENZO-A-PYRENE                     WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34252	BERYLIUM TISMG/KG WET WGT 	BERYLLIUM                          WET WGTTISMG/KG	           19	         7	        12	         0	         0	         0
34257	BETA BHC SEDUG/KG DRY WGT 	B-BHC-BETA                         DRY WGTBOTUG/KG	           14	         3	         7	         0	         0	         4
34258	BETA BHC TISMG/KG WET WGT 	B-BHC-BETA                         WET WGTTISMG/KG	           20	         8	        11	         0	         0	         1
34259	DELTABHC  TOTUG/L         	DELTA BENZENE HEXACHLORIDE                TOTWUG/L	           19	         5	        11	         0	         0	         3
34262	DELTABHC SEDUG/KG DRY WGT 	DELTA BENZENE HEXACHLORIDE         DRY WGTBOTUG/KG	           14	         3	         7	         0	         0	         4
34263	DELTABHC TISMG/KG WET WGT 	DELTA BENZENE HEXACHLORIDE         WET WGTTISMG/KG	           20	         8	        11	         0	         0	         1
34271	BCLMTETR SEDUG/KG DRY WGT 	BIS (CHLOROMETHYL) ETHER           DRY WGTBOTUG/KG	            1	         0	         1	         0	         0	         0
34272	BCLMTETR TISMG/KG WET WGT 	BIS (CHLOROMETHYL) ETHER           WET WGTTISMG/KG	            1	         0	         1	         0	         0	         0
34273	BIS2CHLO ROETHYLE TOTWUG/L	BIS (2-CHLOROETHYL) ETHER                 TOTWUG/L	           23	         5	        12	         0	         2	         4
34276	B2CETETR SEDUG/KG DRY WGT 	BIS (2-CHLOROETHYL) ETHER          DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34277	B2CETETR TISMG/KG WET WGT 	BIS (2-CHLOROETHYL) ETHER          WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34278	BIS2CHLO ROETHOXY TOTWUG/L	BIS (2-CHLOROETHOXY) METHANE              TOTWUG/L	           23	         5	        12	         0	         2	         4
34281	B2CETOXM SEDUG/KG DRY WGT 	BIS (2-CHLOROETHOXY) METHANE       DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34282	B2CETOXM TISMG/KG WET WGT 	BIS (2-CHLOROETHOXY) METHANE       WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34283	BIS2CHLO ROISOPRO TOTWUG/L	BIS (2-CHLOROISOPROPYL) ETHER             TOTWUG/L	           20	         5	         9	         0	         2	         4
34286	B2CIPETR SEDUG/KG DRY WGT 	BIS (2-CHLOROISOPROPYL) ETHER      DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34287	B2CIPETR TISMG/KG WET WGT 	BIS (2-CHLOROISOPROPYL) ETHER      WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34288	BROMOFOR  DISSUG/L        	BROMOFORM                                 DISSUG/L	           24	         6	         5	         5	         6	         2
34290	BROMOFOR SEDUG/KG DRY WGT 	BROMOFORM                          DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34291	BROMOFOR TISMG/KG WET WGT 	BROMOFORM                          WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34292	NBB PHTH TOTAL    UG/L    	N-BUTYL BENZYL PHTHALATE,WHOLE WATER,UG/L         	           23	         5	        12	         0	         2	         4
34293	NBB PHTH DISS     UG/L    	N-BUTYL BENZYL PHTHALATE,DISSOLVED,UG/L           	            3	         0	         3	         0	         0	         0
